Huvud;Head;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21800_96square.jpeg;
Arm;Arm;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9562_96square.jpeg;
Hand;Hand;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8317_96square.jpeg;
Finger;Finger;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9323_96square.jpeg;
Mage;Stomach;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8438_96square.jpeg;
Rygg;Back;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21801_96square.jpeg;
Bröst;Chest;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21799_96square.jpeg;
Sjuksköterska;Nurse;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21768_96square.jpeg;
Anställd;Employee;https://d1pra95f92lrn3.cloudfront.net/media/thumb/15526_96square.jpeg;
Poliskonstapel;Police officer;https://d1pra95f92lrn3.cloudfront.net/media/thumb/22290_96square.jpg;
Ingenjör;Engineer;https://d1pra95f92lrn3.cloudfront.net/media/thumb/19050_96square.jpeg;
Kock;Cook;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21802_96square.jpeg;
Doktor;Doctor;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21803_96square.jpeg;
Föreståndare;Manager;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17412_96square.jpeg;
Programmerare;Programmer;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21805_96square.jpeg;
Försäljare;Salesman;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9477_96square.jpeg;
Glasögon;Glasses;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8928_96square.jpeg;
Jacka;Jacket;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8217_96square.jpeg;
Ta emot;Receive;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21811_96square.jpeg;
Leta efter;Search;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8285_96square.jpeg;
Ledsen;Sad;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8262_96square.jpeg;
