Anlända;Arrive
Än;Than
Avgången;Departure
Försening;Delay
Dubbelt så mycket;Twice as much
Valuta;Currency
Ta steget;Increase
I måndags;Past Monday
Förvänta;Expect
Fartyg;ship
tillåta;allow
försiktigt;carefully
Fara;Danger
