Avsnitt;Episode
Kliva fram;Step forward
Inställning;Attitude
Anfall;Attack
Försvararen;Defender
Målvakt;Goalkeeper
Straffläggning;Penalty shot
Utjämnare;Equalizer
Mittfältare;Midfielder
Ersättning;Substitude
Lag;Team
Läge;location
Ställning;position
Lagkamrat;Teammate
Domare;Referee
Dyka;dive
