Match;Game
Tränare;Manager (coach)
Kom hit;Came here
Vann;Won
Hoppas;Hope
Bubbelpool;Hot tub
Kusten;The coast
Ofta;Often
Vanligt;Normal
Helt olika;Totally different
Bli;Become
Hård;Hard, difficult
Hoppa över;Skip
Bo på ett hotell;Stay at a hotel
Julstämning;Christmas mood
Förra året;Last year
I deras hem;In their home
Erfaren;Experienced
Ensam;Alone
område;Area
Räcker;Enough
